time,yaw,pitch,roll
13:24:48,InéInitializing I2C d
13:24:48,vic
13:24:48,s...
T
13:24:48,sting d
13:24:48,vic
13:24:48, conn
13:24:48,ctions...
MPU6050 conn
13:24:48,ction succ
13:24:48,ssful

S
13:24:48,nd any charact
13:24:49,r to b
13:24:49,gin DMP programming and d
13:24:49,mo: 
Initializing DMP...
Enabling DMP...
Enabling int
13:24:49,rrupt d
13:24:56,-0.11,-3.86,-1.81
13:24:56,-0.11,-3.86,-1.81
13:24:56,-0.11,-3.86,-1.81
13:24:56,-0.12,-3.86,-1.81
13:24:56,-0.12,-3.86,-1.81
13:24:56,-0.12,-3.87,-1.80
13:24:56,-0.12,-3.87,-1.80
13:24:56,-0.12,-3.86,-1.80
13:24:56,-0.12,-3.87,-1.81
13:24:56,-0.12,-3.87,-1.81
13:24:56,-0.12,-3.87,-1.81
13:24:56,-0.12,-3.87,-1.81
13:24:57,-0.12,-3.86,-1.81
13:24:57,-0.12,-3.86,-1.81
13:24:57,-0.12,-3.86,-1.80
13:24:57,-0.12,-3.86,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.12,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.13,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.88,-1.80
13:24:57,-0.14,-3.88,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.14,-3.87,-1.80
13:24:57,-0.15,-3.87,-1.80
13:24:57,-0.15,-3.87,-1.80
13:24:57,-0.15,-3.87,-1.80
13:24:57,-0.15,-3.87,-1.80
13:24:57,-0.15,-3.87,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.87,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.81
13:24:57,-0.15,-3.86,-1.81
13:24:57,-0.15,-3.86,-1.81
13:24:57,-0.15,-3.86,-1.81
13:24:57,-0.15,-3.86,-1.81
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.81
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.80
13:24:57,-0.15,-3.86,-1.81
13:24:58,-0.15,-3.86,-1.81
13:24:58,-0.15,-3.86,-1.81
13:24:58,-0.16,-3.86,-1.81
13:24:58,-0.16,-3.86,-1.81
13:24:58,-0.16,-3.86,-1.80
13:24:58,-0.16,-3.86,-1.80
13:24:58,-0.16,-3.86,-1.80
13:24:58,-0.16,-3.86,-1.80
13:24:58,-0.16,-3.87,-1.81
13:24:58,-0.16,-3.86,-1.81
13:24:58,-0.16,-3.86,-1.81
13:24:58,-0.16,-3.86,-1.81
13:24:58,-0.16,-3.86,-1.81
13:24:58,-0.17,-3.87,-1.81
13:24:58,-0.16,-3.86,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.86,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.17,-3.87,-1.80
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.18,-3.87,-1.81
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.18,-3.86,-1.81
13:24:58,-0.18,-3.86,-1.80
13:24:58,-0.18,-3.86,-1.80
13:24:58,-0.18,-3.86,-1.81
13:24:58,-0.18,-3.86,-1.81
13:24:58,-0.18,-3.86,-1.80
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.18,-3.87,-1.80
13:24:58,-0.19,-3.87,-1.80
13:24:58,-0.19,-3.87,-1.80
13:24:58,-0.19,-3.86,-1.81
13:24:58,-0.19,-3.86,-1.81
13:24:58,-0.19,-3.86,-1.81
13:24:58,-0.19,-3.87,-1.81
13:24:58,-0.19,-3.87,-1.81
13:24:59,-0.19,-3.87,-1.81
13:24:59,-0.19,-3.87,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.80
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.19,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.20,-3.86,-1.81
13:24:59,-0.21,-3.86,-1.81
13:24:59,-0.21,-3.86,-1.81
13:24:59,-0.21,-3.86,-1.81
13:24:59,-0.21,-3.87,-1.81
13:24:59,-0.21,-3.87,-1.81
